201612310060000600000000000000724631000000000000007246319900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724632000000000000007246329900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724633000000000000007246339900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724634000000000000007246349900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724635000000000000007246359900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505257000000000000005052579900000000000000000000Consumidor Final              000000000063000000000000063000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724636000000000000007246369900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505229000000000000005052299900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000900000000000000035332000000000000000353329900000000000000000000Consumidor Final              000000000078000000000000078000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724617000000000000007246179900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724618000000000000007246189900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724623000000000000007246239900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724624000000000000007246249900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724625000000000000007246259900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724626000000000000007246269900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724627000000000000007246279900000000000000000000Consumidor Final              000000000030000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724628000000000000007246289900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724629000000000000007246299900000000000000000000Consumidor Final              000000000079300000000000079300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724601000000000000007246019900000000000000000000Consumidor Final              000000000084700000000000084700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724630000000000000007246309900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724653000000000000007246539900000000000000000000Consumidor Final              000000000070600000000000070600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724654000000000000007246549900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724655000000000000007246559900000000000000000000Consumidor Final              000000000069000000000000069000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724656000000000000007246569900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724657000000000000007246579900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505271000000000000005052719900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724658000000000000007246589900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000700000000000000505272000000000000005052729900000000000000000000Consumidor Final              000000000030000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724659000000000000007246599900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000600000000000000724602000000000000007246029900000000000000000000Consumidor Final              000000000065000000000000065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
201612310060000800000000000000173738000000000000001737389900000000000000000000Consumidor Final              000000000055000000000000055000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000PES00010000001N00000000000000020170110
